特征名,重要性
I5,181
I6,133
I3,122
I8,106
I9,103
I13,94
I2,89
I7,85
I4,82
I11,44
C17_e5ba7672,34
I1,30
C1_05db9164,28
C19_-1,27
C10_3b08e48b,24
C23_32c7478e,24
C23_be7c41b4,20
I10,20
C6_7e0ccccf,19
I12,19
C14_b28479f6,18
C8_0b153874,14
C19_21ddcdc9,13
C5_25c83c98,12
C14_07d13a8f,11
C8_1f89b562,10
C14_8ceecbc8,9
C20_b1252a9d,9
C20_a458ea53,9
C23_3a171ecb,9
C5_4cf72387,9
C17_8efede7f,9
C17_07c540c4,8
C6_-1,7
C2_38a947a1,7
C22_ad3062eb,7
C20_5840adea,6
C11_c4adf918,5
C25_001f3601,5
C8_5b392875,5
C1_5a9ed9b0,5
C17_d4bb7bd8,4
C18_1f868fdd,4
C23_423fab69,4
C6_fbad5c96,4
C17_3486227d,4
C14_051219e6,4
C2_09e68b86,3
C2_942f9a8d,3
C5_43b19349,3
C6_fe6b92e5,3
C1_68fd1e64,3
C17_776ce399,3
C22_-1,3
C24_aee52b6f,2
C6_6f6d9be8,2
C3_d032c263,2
C4_c18be181,2
C24_1793a828,2
C14_1adce6ef,2
C9_a73ee510,2
C25_e8b83407,2
C24_3b183c5c,1
C6_13718bbd,1
C20_-1,1
C9_7cc72ec2,1
C16_84898b2a,1
C2_d833535f,1
C13_85dbe138,1
C8_062b5529,1
C4_d16679b9,1
C1_8cf07265,1
C24_3fdb382b,1
C12_dfbb09fb,1
C16_1457a5bb,0
C16_151299f6,0
C16_1443e3aa,0
C16_140503a1,0
C16_146a70fd,0
C15_f5799c5c,0
C16_15469308,0
C16_1580ed5d,0
C16_15b23f84,0
C15_f511c49f,0
C16_15da0096,0
C16_160eec67,0
C16_168f136e,0
C16_1443c357,0
C16_0f99b5b5,0
C16_0fd4fbad,0
C16_0fed94d1,0
C16_10138641,0
C16_1034ac0d,0
C16_10d214c3,0
C16_10f050cc,0
C16_1174f1ac,0
C16_11b43c2e,0
C16_11f7d7dd,0
C16_1686e3d8,0
C16_1203a270,0
C16_1206a8a1,0
C16_1271e443,0
C16_12a32c5b,0
C16_12daa519,0
C16_12e989e9,0
C16_12f5c530,0
C16_13832203,0
C16_13d83e9c,0
C16_13e2a30d,0
C16_11fe787a,0
C15_f2f8a7e2,0
C16_1c09a427,0
C16_1c16ef03,0
C16_1c670413,0
C16_1c72109f,0
C16_1c723926,0
C16_1ca88d4c,0
C16_1cb9e3c1,0
C16_1cd8938f,0
C16_1cdb3603,0
C16_0fbd51f0,0
C16_1cf48289,0
C16_1d0eb9f4,0
C16_1d51d377,0
C16_1d5dff28,0
C16_1d7654cd,0
C16_1d87e348,0
C15_f2d9bf39,0
C15_f29e2024,0
C16_1dc9822a,0
C15_f189ac4e,0
C16_1ce2c3ab,0
C16_169f1150,0
C16_16a7da79,0
C16_16b7b16b,0
C15_f50033e5,0
C16_1746d357,0
C16_174bcda9,0
C15_f3c64936,0
C16_178bcb9c,0
C16_17aff3ce,0
C16_18b57613,0
C16_1bf03082,0
C16_19612a0f,0
C16_196ee6aa,0
C16_1a00d73c,0
C16_1ab2aab4,0
C16_1af0086f,0
C15_f3a94039,0
C15_f3996583,0
C16_1b3b8caa,0
C15_f3635baf,0
C15_f3002fbd,0
C16_193a711a,0
C16_0302196d,0
C16_03172d90,0
C16_0337a486,0
C16_037b3abf,0
C16_03dee53f,0
C16_03f89a73,0
C16_04f57862,0
C16_051c2d67,0
C16_0541cbdf,0
C16_054b386f,0
C16_0f502051,0
C16_056d8866,0
C16_05c5cfbe,0
C16_0607e9c3,0
C16_06f33c3d,0
C16_0727bec4,0
C16_07408417,0
C16_07eb8110,0
C16_080b92a6,0
C16_08100483,0
C16_08325bb9,0
C16_0834adb7,0
C16_056512da,0
C15_fbdfc6b5,0
C15_fc1f50d6,0
C15_fc42663d,0
C15_fb2772ea,0
C15_fc45bcbf,0
C15_faa78901,0
C15_fcd7af58,0
C15_fd8464ad,0
C15_fda2c275,0
C15_fdb1071f,0
C16_02f83c0c,0
C15_fa321567,0
C15_fec218c0,0
C15_ff4a3566,0
C15_ff933175,0
C15_f9fbbd0a,0
C16_-1,0
C16_01adbab4,0
C16_01db98cd,0
C16_01dcb963,0
C16_02af86f2,0
C16_02df538f,0
C15_fe83a0f3,0
C16_0b880bfd,0
C16_0b890144,0
C16_0c1980c8,0
C16_0c1bb936,0
C16_0c41b634,0
C16_0c61759d,0
C16_0c6b4ad6,0
C16_0ca15585,0
C16_0ca69655,0
C16_0d764564,0
C16_08514295,0
C16_0db58836,0
C16_0decd005,0
C16_0ded9094,0
C16_0e311eb0,0
C15_f5bfabbd,0
C16_0e5b6685,0
C16_0eef1d43,0
C16_0f33b689,0
C16_0f3e52cd,0
C16_0f655650,0
C16_0f696881,0
C16_0d7e5968,0
C15_f9d8f165,0
C15_f9d1382e,0
C15_f7b14c36,0
C15_f7aa54a4,0
C16_085faf22,0
C16_08660cf6,0
C16_08993d2a,0
C16_08dd6c7b,0
C16_08eb625f,0
C15_f775a6d5,0
C16_0b577457,0
C15_f6b23a53,0
C16_09675609,0
C16_0982799e,0
C16_09ee9836,0
C15_f5fed91e,0
C16_0abe22ad,0
C16_0ac42532,0
C16_1f075864,0
C16_0b065b85,0
C16_0b365e26,0
C16_0b516a34,0
C15_f717b29a,0
C16_38f177ad,0
C16_38f75f7c,0
C16_3948d462,0
C16_3949fb6c,0
C16_395c27d2,0
C16_399c02fb,0
C16_39b2dd98,0
C16_39d3899e,0
C16_3a4e2f87,0
C16_3a6d0658,0
C16_3a916779,0
C16_3ab25b0b,0
C16_23056e4f,0
C16_3b6988c7,0
C16_3b6bb4ca,0
C16_3b82d2a6,0
C16_3b8808fa,0
C16_3bb432e9,0
C16_3bce7bb5,0
C16_3c9a82e7,0
C16_3cfa64fa,0
C16_3d66d729,0
C16_3d7bc405,0
C16_3d9023a4,0
C16_3de1df4f,0
C16_3b35c4c2,0
C16_355e0fc0,0
C16_356f6a16,0
C16_3582edaa,0
C16_35b57962,0
C16_35cb8a21,0
C16_35cf2ced,0
C16_36103458,0
C16_363972a1,0
C16_367b7adf,0
C16_36b4052c,0
C16_36cd32ed,0
C16_36e6f2fa,0
C16_38c9e47d,0
C16_374da7fb,0
C16_375e495d,0
C16_37a2c023,0
C16_37ab1ff3,0
C16_37d72a2c,0
C16_37dc2280,0
C16_380162b4,0
C16_384206d4,0
C16_384d2714,0
C16_386da210,0
C16_38b5e368,0
C16_38ba792d,0
C16_3704b755,0
C16_444585d7,0
C16_44488f61,0
C16_447c553c,0
C16_44df6b5e,0
C16_44f11b66,0
C16_4562f4f5,0
C16_46744cd4,0
C16_46973e83,0
C16_46f60353,0
C16_476f89f0,0
C16_477320e3,0
C16_47e8d967,0
C16_3df5541f,0
C16_4860e447,0
C16_489b1305,0
C16_48e224f3,0
C16_48eb4cd3,0
C16_48ff5919,0
C16_49013ffe,0
C16_49033934,0
C16_498519e1,0
C16_49c430ef,0
C16_4a182ba4,0
C16_4a392807,0
C16_4a838997,0
C16_482a2124,0
C16_3e1b50db,0
C16_3e5c1145,0
C16_3e9b78fb,0
C16_3e9d3241,0
C16_3fa658c5,0
C16_3fde1345,0
C16_402a9036,0
C16_4068cf19,0
C16_40b2ef0a,0
C16_410c14ba,0
C16_410dec23,0
C16_412b23b3,0
C16_44259ba6,0
C16_41b2fd79,0
C16_41b4dd52,0
C16_41fa002e,0
C16_42112f46,0
C16_42e55dcb,0
C16_431ce6ec,0
C16_4372eb4b,0
C16_4390abb5,0
C16_43a7c9a1,0
C16_43b8900f,0
C16_43d7ca91,0
C16_43f5574b,0
C16_41aa730c,0
C16_260a0c41,0
C16_2643a5f6,0
C16_2678cff3,0
C16_267c028a,0
C16_26e7e9f8,0
C16_27186dc9,0
C16_275d87ab,0
C16_2795dbe6,0
C16_27c80b53,0
C16_28091a39,0
C16_28fa6301,0
C16_29042374,0
